capitalCity,longitude,latitude,name,Year,Country,Country_url,Region Code,Region,Overall Rank,Happiness Score,GDP per capita,Family,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Happiness Status
Vienna,16.3798,48.2201,Austria,2017.0,Austria,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,150.0,EUROPE,235.0,7.006000042,1.487097263,1.459944963,0.0,0.815328419,0.56776619,0.316472322,0.221060365,Green
Vienna,16.3798,48.2201,Austria,2018.0,Austria,https://upload.wikimedia.org/wikipedia/commons/9/93/Flag_of_the_Bahamas.svg,19.0,AMERICAS,390.0,7.139,1.341,0.0,1.504,0.891,0.617,0.242,0.224,Green
Vienna,16.3798,48.2201,Austria,2019.0,Austria,,0.0,,546.0,7.246,1.376,0.0,1.475,1.016,0.532,0.244,0.226,Green
Baku,49.8932,40.3834,Azerbaijan,2016.0,Azerbaijan,,0.0,,79.0,5.291,1.12373,0.76042,0.0,0.54504,0.35327,0.0564,0.17914,Amber
Baku,49.8932,40.3834,Azerbaijan,2017.0,Azerbaijan,,142.0,ASIA,235.0,5.234000206,1.153601766,1.152400255,0.0,0.540775776,0.398155838,0.04526934,0.180987507,Amber
Baku,49.8932,40.3834,Azerbaijan,2018.0,Azerbaijan,https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kazakhstan.svg,142.0,ASIA,390.0,5.201,1.024,0.0,1.161,0.603,0.43,0.031,0.176,Amber
Baku,49.8932,40.3834,Azerbaijan,2019.0,Azerbaijan,,0.0,,546.0,5.208,1.043,0.0,1.147,0.769,0.351,0.035,0.182,Amber
Bujumbura,29.3639,-3.3784,Burundi,2016.0,Burundi,,0.0,,79.0,2.905,0.06831,0.23442,0.0,0.15747,0.0432,0.2029,0.09419,Amber
Bujumbura,29.3639,-3.3784,Burundi,2017.0,Burundi,,0.0,,235.0,2.904999971,0.091622569,0.629793584,0.0,0.151610792,0.059900753,0.204435185,0.084147945,Amber
Bujumbura,29.3639,-3.3784,Burundi,2018.0,Burundi,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Sierra_Leone.svg,2.0,AFRICA,390.0,2.905,0.091,0.0,0.627,0.145,0.065,0.149,0.076,Amber
Bujumbura,29.3639,-3.3784,Burundi,2019.0,Burundi,,0.0,,546.0,3.775,0.046,0.0,0.447,0.38,0.22,0.176,0.18,Amber
,,,East Asia & Pacific (IBRD-only countries),,,,,,,,,,,,,,,
,,,Europe & Central Asia (IBRD-only countries),,,,,,,,,,,,,,,
Brussels,4.36761,50.8371,Belgium,2016.0,Belgium,,0.0,,79.0,6.929,1.42539,1.05249,0.0,0.81959,0.51354,0.2424,0.26248,Green
Brussels,4.36761,50.8371,Belgium,2017.0,Belgium,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tanzania.svg,2.0,AFRICA,235.0,6.890999794,1.463780761,1.462312698,0.0,0.818091869,0.539770722,0.231503338,0.251343131,Green
Brussels,4.36761,50.8371,Belgium,2018.0,Belgium,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg,150.0,EUROPE,390.0,6.927,1.324,0.0,1.483,0.894,0.583,0.188,0.24,Green
Brussels,4.36761,50.8371,Belgium,2019.0,Belgium,,0.0,,546.0,6.923,1.356,0.0,1.504,0.986,0.473,0.16,0.21,Green
